City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Nikolskoye,RU,2021-04-25 18:32:58,59.7035,30.7861,39.0,93,90,11.18,overcast clouds
86,Wanning,CN,2021-04-25 18:37:49,18.8003,110.3967,78.85,89,100,7.02,overcast clouds
87,Antalaha,MG,2021-04-25 18:37:49,-14.9003,50.2788,72.75,90,100,5.61,overcast clouds
88,Mar Del Plata,AR,2021-04-25 18:33:03,-38.0023,-57.5575,64.4,63,40,13.8,scattered clouds
89,Taunton,GB,2021-04-25 18:37:50,51.0211,-3.1047,57.2,41,6,17.27,clear sky
90,Busselton,AU,2021-04-25 18:35:27,-33.65,115.3333,53.01,96,100,1.01,overcast clouds
91,Ouesso,CG,2021-04-25 18:37:51,1.6136,16.0517,78.96,69,88,2.73,overcast clouds
92,Vaini,TO,2021-04-25 18:37:51,-21.2,-175.2,75.2,94,75,2.3,light rain
93,Seda,LV,2021-04-25 18:37:51,57.65,25.75,35.01,90,100,1.99,overcast clouds
94,Dikson,RU,2021-04-25 18:37:52,73.5069,80.5464,16.23,90,100,10.65,overcast clouds
95,Nuuk,GL,2021-04-25 18:37:52,64.1835,-51.7216,42.8,70,75,1.14,broken clouds
96,San Quintin,MX,2021-04-25 18:37:53,30.4833,-115.95,64.22,65,12,16.93,few clouds
97,Makokou,GA,2021-04-25 18:37:53,0.5738,12.8642,77.32,73,100,2.37,overcast clouds
98,Sibolga,ID,2021-04-25 18:37:53,1.7427,98.7792,76.57,84,40,3.04,scattered clouds
99,Katsuura,JP,2021-04-25 18:37:30,35.1333,140.3,53.6,50,75,17.27,broken clouds
100,Husavik,IS,2021-04-25 18:37:54,66.0449,-17.3389,39.2,93,90,14.97,overcast clouds
101,Saint Anthony,US,2021-04-25 18:37:54,45.0205,-93.218,45.0,39,90,10.36,overcast clouds
102,Saint George,US,2021-04-25 18:37:55,37.1041,-113.5841,79.0,14,1,27.63,clear sky
103,Georgetown,MY,2021-04-25 18:37:55,5.4112,100.3354,80.6,89,20,3.44,few clouds
